primerLabel,srcLabel,srcWell,dstLabel,dstWell,volume,,dst1
504949_21,1031H1,A01,dst3,16,8
505443_1,1031H1,A02,dst4,1,100
505443_1,1031H1,A02,dst4,2,10
505443_2,1031H1,A03,dst4,2,9
505443_3,1031H1,A04,dst4,2,10
505443_4,1031H1,A05,dst4,2,11
505443_5,1031H1,A06,dst4,2,13
505443_6,1031H1,A07,dst4,2,8
505443_7,1031H1,A08,dst4,2,9
505443_8,1031H1,A09,dst4,2,8
505443_9,1031H1,A10,dst4,2,6
505443_10,1031H1,A11,dst4,2,6
505443_11,1031H1,A12,dst4,2,10
505443_12,1031H1,B01,dst4,2,9
505443_13,1031H1,B02,dst4,2,8
505443_14,1031H1,B03,dst4,2,10
505443_14,1031H1,B03,dst4,3,100
505456_1,1031H1,B04,dst4,4,120
505456_1,1031H1,B04,dst4,5,12
505456_2,1031H1,B05,dst4,5,14
505456_3,1031H1,B06,dst4,5,8
505456_4,1031H1,B07,dst4,5,8
505456_5,1031H1,B08,dst4,5,8
505456_6,1031H1,B09,dst4,5,10
505456_7,1031H1,B10,dst4,5,6
505456_8,1031H1,B11,dst4,5,8
505456_9,1031H1,B12,dst4,5,12
505456_10,1031H1,C01,dst4,5,12
505456_11,1031H1,C02,dst4,5,11
505456_12,1031H1,C03,dst4,5,14
505456_13,1031H1,C04,dst4,5,7
505456_14,1031H1,C05,dst4,5,8
505456_15,1031H1,C06,dst4,5,11
505456_16,1031H1,C07,dst4,5,8
505456_16,1031H1,C07,dst4,6,80
505461_1,1031H1,C08,dst4,7,80
505461_1,1031H1,C08,dst4,8,8
505461_2,1031H1,C09,dst4,8,14
505461_3,1031H1,C10,dst4,8,8
505461_4,1031H1,C11,dst4,8,10
505461_5,1031H1,C12,dst4,8,9
505461_6,1031H1,D01,dst4,8,6
505461_7,1031H1,D02,dst4,8,6
505461_8,1031H1,D03,dst4,8,8
505461_9,1031H1,D04,dst4,8,10
505461_10,1031H1,D05,dst4,8,8
505461_10,1031H1,D05,dst4,9,80
505461_9,1031H1,D04,dst4,10,100
505461_9,1031H1,D04,dst4,11,10
505461_10,1031H1,D05,dst4,11,8
505461_11,1031H1,D06,dst4,11,8
505461_12,1031H1,D07,dst4,11,11
505461_13,1031H1,D08,dst4,11,9
505461_14,1031H1,D09,dst4,11,8
505461_15,1031H1,D10,dst4,11,11
505461_16,1031H1,D11,dst4,11,9
505461_17,1031H1,D12,dst4,11,10
505461_18,1031H1,E01,dst4,11,7
505461_18,1031H1,E01,dst4,12,70
505461_17,1031H1,D12,dst4,13,100
505461_17,1031H1,D12,dst4,14,10
505461_18,1031H1,E01,dst4,14,7
505461_19,1031H1,E02,dst4,14,10
